[sudo] password for analog: 
-- Logs begin at Wed 2023-03-15 15:04:16 UTC. --
Mar 15 15:04:55.869087 aditof systemd[511]: Reached target Sockets.
Mar 15 15:04:55.869122 aditof systemd[511]: Reached target Timers.
Mar 15 15:04:55.869157 aditof systemd[511]: Reached target Basic System.
Mar 15 15:04:55.869287 aditof systemd[511]: Reached target Main User Target.
Mar 15 15:04:55.869342 aditof systemd[511]: Startup finished in 204ms.
Mar 15 15:04:55.869829 aditof systemd[1]: Started User Manager for UID 1000.
Mar 15 15:04:55.873383 aditof systemd[1]: Started Session 1 of user analog.
Mar 15 15:04:58.757055 aditof sudo[526]: [0;38;5;245m[0;1;31m[0;38;5;245mpam_unix(sudo:account): account analog has password changed in future[0m
Mar 15 15:04:58.757364 aditof sudo[526]: [0;1;39m[0;1;31m[0;1;39m  analog : TTY=pts/0 ; PWD=/home/analog ; USER=root ; COMMAND=/usr/bin/journalctl -b -f -o short-precise[0m
Mar 15 15:04:58.758599 aditof sudo[526]: pam_unix(sudo:session): session opened for user root by analog(uid=0)
Mar 15 15:05:11.445906 aditof aditof-server[434]: Conn Established
Mar 15 15:05:11.449326 aditof aditof-server[434]: I20230315 15:05:11.449185   434 server.cpp:317] FindSensors function
Mar 15 15:05:11.449609 aditof aditof-server[434]: I20230315 15:05:11.449414   434 sensor_enumerator_imx.cpp:116] Looking for sensors on the target
Mar 15 15:05:11.449991 aditof aditof-server[434]: I20230315 15:05:11.449900   434 sensor_enumerator_imx.cpp:137] Looking at: /dev/media0 for an eligible TOF camera
Mar 15 15:05:11.460723 aditof aditof-server[434]: I20230315 15:05:11.460592   434 sensor_enumerator_imx.cpp:153] Considering: /dev/media0 an eligible TOF camera
Mar 15 15:05:11.477540 aditof aditof-server[434]: Connection Closed
Mar 15 15:05:15.157799 aditof aditof-server[434]: Conn Established
Mar 15 15:05:15.165316 aditof aditof-server[434]: I20230315 15:05:15.165163   434 server.cpp:317] Open function
Mar 15 15:05:15.165612 aditof aditof-server[434]: I20230315 15:05:15.165432   434 adsd3500_sensor.cpp:207] Opening device
Mar 15 15:05:15.165612 aditof aditof-server[434]: I20230315 15:05:15.165545   434 adsd3500_sensor.cpp:225] Looking for the following cards:
Mar 15 15:05:15.165880 aditof aditof-server[434]: I20230315 15:05:15.165596   434 adsd3500_sensor.cpp:227] mxc-isi-cap
Mar 15 15:05:15.165880 aditof aditof-server[434]: I20230315 15:05:15.165659   434 adsd3500_sensor.cpp:239] device: /dev/video0        subdevice: /dev/v4l-subdev1
Mar 15 15:05:15.166792 aditof aditof-server[434]: I20230315 15:05:15.166683   434 adsd3500_interrupt_notifier.cpp:33] Received signal 0 from kernel
Mar 15 15:05:15.168418 aditof aditof-server[434]: I20230315 15:05:15.168316   434 adsd3500_sensor.cpp:1554] statusRegister:0(Adsd3500Status::OK)
Mar 15 15:05:15.169504 aditof aditof-server[434]: W20230315 15:05:15.169064   434 adsd3500_sensor.cpp:990] Reading Adsd3500 error errno: 5 error: Input/output error
Mar 15 15:05:15.173075 aditof kernel: [0;1;38;5;185m[0;1;39m[0;1;38;5;185madsd3500 1-0038: Read burst transfer failed[0m
Mar 15 15:05:21.015692 aditof aditof-server[434]: I20230315 15:05:21.015214   434 adsd3500_interrupt_notifier.cpp:33] Received signal 0 from kernel
Mar 15 15:05:21.019320 aditof aditof-server[434]: I20230315 15:05:21.018872   434 adsd3500_sensor.cpp:1554] statusRegister:0(Adsd3500Status::OK)
Mar 15 15:05:21.019320 aditof aditof-server[434]: I20230315 15:05:21.019035   434 adsd3500_interrupt_notifier.cpp:33] Received signal 0 from kernel
Mar 15 15:05:21.022991 aditof aditof-server[434]: I20230315 15:05:21.022569   434 adsd3500_sensor.cpp:1554] statusRegister:0(Adsd3500Status::OK)
Mar 15 15:05:21.036603 aditof aditof-server[434]: I20230315 15:05:21.036142   434 adsd3500_sensor.cpp:335] ADSD3500 is ready to communicate with.
Mar 15 15:05:21.050862 aditof aditof-server[434]: I20230315 15:05:21.050407   434 mode_info.cpp:148] Using new modes table for adsd3500.
Mar 15 15:05:21.053695 aditof aditof-server[434]: I20230315 15:05:21.053236   434 server.cpp:317] GetControl function
Mar 15 15:05:21.057303 aditof aditof-server[434]: I20230315 15:05:21.057178   434 server.cpp:317] GetControl function
Mar 15 15:05:21.061337 aditof aditof-server[434]: I20230315 15:05:21.061213   434 server.cpp:317] Adsd3500ReadPayloadCmd function
Mar 15 15:05:21.077578 aditof aditof-server[434]: I20230315 15:05:21.077114   434 server.cpp:317] SetControl function
Mar 15 15:05:21.077578 aditof aditof-server[434]: I20230315 15:05:21.077342   434 mode_info.cpp:144] Using new mixed modes table for adsd3500.
Mar 15 15:05:21.081613 aditof aditof-server[434]: I20230315 15:05:21.081148   434 server.cpp:317] GetAvailableFrameTypes function
Mar 15 15:05:21.085615 aditof aditof-server[434]: I20230315 15:05:21.085173   434 server.cpp:317] Adsd3500ReadPayloadCmd function
Mar 15 15:05:21.113575 aditof aditof-server[434]: I20230315 15:05:21.113116   434 server.cpp:317] Adsd3500ReadPayloadCmd function
Mar 15 15:05:21.129571 aditof aditof-server[434]: I20230315 15:05:21.129113   434 server.cpp:317] Adsd3500ReadPayloadCmd function
Mar 15 15:05:21.145311 aditof aditof-server[434]: I20230315 15:05:21.145113   434 server.cpp:317] Adsd3500ReadPayloadCmd function
Mar 15 15:05:21.161305 aditof aditof-server[434]: I20230315 15:05:21.161113   434 server.cpp:317] Adsd3500ReadPayloadCmd function
Mar 15 15:05:21.181307 aditof aditof-server[434]: I20230315 15:05:21.181114   434 server.cpp:317] Adsd3500ReadPayloadCmd function
Mar 15 15:05:21.205576 aditof aditof-server[434]: I20230315 15:05:21.205112   434 server.cpp:317] Adsd3500ReadPayloadCmd function
Mar 15 15:05:21.229893 aditof aditof-server[434]: I20230315 15:05:21.229426   434 server.cpp:317] Adsd3500ReadPayloadCmd function
Mar 15 15:05:21.266007 aditof aditof-server[434]: I20230315 15:05:21.265432   434 server.cpp:317] Adsd3500ReadPayloadCmd function
Mar 15 15:05:21.281584 aditof aditof-server[434]: I20230315 15:05:21.281111   434 server.cpp:317] Adsd3500ReadPayloadCmd function
Mar 15 15:05:21.297570 aditof aditof-server[434]: I20230315 15:05:21.297116   434 server.cpp:317] Adsd3500ReadPayloadCmd function
